bankCode,bic,bankName,postalCode,city,flags
00100,SNBZCHZZXXX,Schweizerische Nationalbank,8022,Zürich,
01007,SNBZCHZZDX2,Schweizerische Nationalbank Transit wCBDC,8022,Zürich,
00110,SNBZCHZZXXX,Schweizerische Nationalbank,3003,Bern,
00115,SNBZCHZZXXX,Schweizerische Nationalbank,3003,Bern,
00193,SECGDEFFXXX,SECB Swiss Euro Clearing Bank,60318,Frankfurt am Main,
00202,UBSWCHZH86N,UBS Switzerland AG,8610,Uster 1,
00203,UBSWCHZH93A,UBS Switzerland AG,9320,Arbon,
00204,UBSWCHZH70E,UBS Switzerland AG,7050,Arosa,
00206,UBSWCHZH80V,UBS Switzerland AG,8098,Zürich,
00207,UBSWCHZH81M,UBS Switzerland AG,8180,Bülach,
00208,UBSWCHZH70A,UBS Switzerland AG,7002,Chur,
00209,UBSWCHZH72D,UBS Switzerland AG,7270,Davos Platz 1,
00210,UBSWCHZH52A,UBS Switzerland AG,5201,Brugg AG,
00211,UBSWCHZH31A,UBS Switzerland AG,3186,Düdingen,
00213,UBSWCHZH94N,UBS Switzerland AG,9450,Altstätten SG,
00214,UBSWCHZH88A,UBS Switzerland AG,8810,Horgen 1,
00215,UBSWCHZH12C,UBS Switzerland AG,1211,Genève 2,
00216,UBSWCHZH88B,UBS Switzerland AG,8853,Lachen SZ,
00217,UBSWCHZH82P,UBS Switzerland AG,8280,Kreuzlingen 1,
00219,UBSWCHZH85B,UBS Switzerland AG,8570,Weinfelden,
00220,UBSWCHZH94P,UBS Switzerland AG,9471,Buchs SG 1,
00221,UBSWCHZH75A,UBS Switzerland AG,7500,St. Moritz 1,
00222,UBSWCHZH83B,UBS Switzerland AG,8304,Wallisellen,
00223,UBSWCHZH89D,UBS Switzerland AG,8953,Dietikon 1,
00225,UBSWCHZH80G,UBS Switzerland AG,8098,Zürich,
00226,UBSWCHZH29A,UBS Switzerland AG,2900,Porrentruy 1,
00227,UBSWCHZH36A,UBS Switzerland AG,3601,Thun,
00228,UBSWCHZH12T,UBS Switzerland AG,1260,Nyon 1,
00230,UBSWCHZH80A,UBS Switzerland AG,8098,Zürich,
00231,UBSWCHZH50A,UBS Switzerland AG,5001,Aarau,
00232,UBSWCHZH54A,UBS Switzerland AG,5401,Baden,
00233,UBSWCHZH40A,UBS Switzerland AG,4002,Basel,
00234,UBSWCHZH65A,UBS Switzerland AG,6501,Bellinzona,
00235,UBSWCHZH30A,UBS Switzerland AG,3000,Bern 94,
00236,UBSWCHZH68B,UBS Switzerland AG,6830,Chiasso 1,
00238,UBSWCHZH87C,UBS Switzerland AG,8706,Meilen,
00239,UBSWCHZH85A,UBS Switzerland AG,8501,Frauenfeld,
00240,UBSWCHZH12A,UBS Switzerland AG,1211,Genève 2,
00241,UBSWCHZH38A,UBS Switzerland AG,3800,Interlaken,
00242,UBSWCHZH23A,UBS Switzerland AG,2300,"Chaux-de-Fonds, La",
00243,UBSWCHZH10A,UBS Switzerland AG,1002,Lausanne,
00244,UBSWCHZH96C,UBS Switzerland AG,9620,Lichtensteig,
00245,UBSWCHZH44A,UBS Switzerland AG,4410,Liestal,
00246,UBSWCHZH66A,UBS Switzerland AG,6601,Locarno 1,
00247,UBSWCHZH69A,UBS Switzerland AG,6901,Lugano,
00248,UBSWCHZH60A,UBS Switzerland AG,6002,Luzern,
00249,UBSWCHZH18D,UBS Switzerland AG,1820,Montreux 1,
00250,UBSWCHZH86M,UBS Switzerland AG,8640,Rapperswil SG,
00251,UBSWCHZH80H,UBS Switzerland AG,8032,Zürich,
00252,UBSWCHZH94A,UBS Switzerland AG,9401,Rorschach,
00253,UBSWCHZH86P,UBS Switzerland AG,8630,Rüti ZH,
00254,UBSWCHZH90A,UBS Switzerland AG,9001,St. Gallen,
00255,UBSWCHZH18A,UBS Switzerland AG,1800,Vevey 1,
00256,UBSWCHZH95A,UBS Switzerland AG,9501,Wil SG 1,
00257,UBSWCHZH84A,UBS Switzerland AG,8401,Winterthur,
00258,UBSWCHZH56B,UBS Switzerland AG,5610,Wohlen AG 1,
00259,UBSWCHZH87B,UBS Switzerland AG,8702,Zollikon,
00260,UBSWCHZH17A,UBS Switzerland AG,1701,Fribourg,
00261,UBSWCHZH46A,UBS Switzerland AG,4600,Olten,
00262,UBSWCHZH45A,UBS Switzerland AG,4502,Solothurn,
00263,UBSWCHZH39A,UBS Switzerland AG,3900,Brig/Brigue,
00264,UBSWCHZH19B,UBS Switzerland AG,1920,Martigny 1,
00265,UBSWCHZH19E,UBS Switzerland AG,1951,Sion/Sitten,
00266,UBSWCHZH16C,UBS Switzerland AG,1630,Bulle,
00267,UBSWCHZH80K,UBS Switzerland AG,8098,Zürich,
00268,UBSWCHZH39L,UBS Switzerland AG,3960,Sierre/Siders,
00269,UBSWCHZH80M,UBS Switzerland AG,8050,Zürich,
00270,UBSWCHZH80N,UBS Switzerland AG,8098,Zürich,
00271,UBSWCHZH80A,UBS Switzerland AG,8098,Zürich,
00272,UBSWCHZH25A,UBS Switzerland AG,2501,Biel/Bienne,
00273,UBSWCHZH63A,UBS Switzerland AG,6301,Zug,
00274,UBSWCHZH80Q,UBS Switzerland AG,8098,Zürich,
00275,UBSWCHZH80R,UBS Switzerland AG,8049,Zürich,
00276,UBSWCHZH89E,UBS Switzerland AG,8910,Affoltern am Albis,
00277,UBSWCHZH18L,UBS Switzerland AG,1870,Monthey 2,
00278,UBSWCHZH83A,UBS Switzerland AG,8302,Kloten,
00279,UBSWCHZH12B,UBS Switzerland AG,1211,Genève 2,
00283,UBSWCHZH81H,UBS Switzerland AG,8152,Glattbrugg,
00284,UBSWCHZH87D,UBS Switzerland AG,8750,Glarus,
00285,UBSWCHZH80P,UBS Switzerland AG,8048,Zürich,
00286,UBSWCHZH80A,UBS Switzerland AG,8098,Zürich,
00287,UBSWCHZH82A,UBS Switzerland AG,8201,Schaffhausen,
00288,UBSWCHZH60G,UBS Switzerland AG,6021,Emmenbrücke 1,
00290,UBSWCHZH20A,UBS Switzerland AG,2001,Neuchâtel,
00291,UBSWCHZH81A,UBS Switzerland AG,8105,Regensdorf 1,
00292,UBSWCHZH40M,UBS Switzerland AG,4002,Basel,
00293,UBSWCHZH88C,UBS Switzerland AG,8803,Rüschlikon,
00294,UBSWCHZH39G,UBS Switzerland AG,3930,Visp/Viège,
00295,UBSWCHZH94F,UBS Switzerland AG,9430,St. Margrethen SG,
00296,UBSWCHZH86Q,UBS Switzerland AG,8620,Wetzikon ZH 2,
00297,UBSWCHZH14A,UBS Switzerland AG,1401,Yverdon-les-Bains,
00298,UBSWCHZH80A,UBS Switzerland AG,8098,Zürich,
30000,POFICHBEXXX,PostFinance AG,3030,Bern,
30002,BHFBCHZZXXX,ODDO BHF (Schweiz) AG,8002,Zürich,
30003,ZURICHZFZLT,Zürich Lebensvers.-Ges. AG Individual Life geb. Vermögen,8002,Zürich,
30004,ZURICHZFZKT,Zürich Lebensvers.-Ges. AG Group Life geb. Vermögen,8002,Zürich,
30005,UBSWCHZH80A,UBS Switzerland AG,8098,Zürich,
30006,ZURICHZFZNT,Zürich Versicherungs.-Ges. AG gebundenes Vermögen,8002,Zürich,
30010,AGRICHGGXXX,CA Indosuez (Switzerland) SA,1211,Genève 11,
30020,RBABCH22180,Crédit Mutuel de la Vallée SA,1347,"Sentier, Le",
30021,RBABCH22182,Caisse d'Epargne de Cossonay société coopérative,1304,Cossonay-Ville,
30022,RBABCH22186,Sparkasse Sense,1712,Tafers/Tavel,
30023,RBABCH22240,Caisse d'Epargne Courtelary SA,2608,Courtelary,
30024,VABECH22XXX,Valiant Bank AG,3001,Bern,
30026,RBABCH22313,Bernerland Bank AG,3454,Sumiswald,
30027,RBABCH22342,SB Saanen Bank AG,3792,Saanen,
30028,RBABCH22363,Bank SLM AG,3110,Münsingen,
30029,RBABCH22374,Spar+Leihkasse Riggisberg AG,3132,Riggisberg,
